  -5.4052355e+00  -2.9412848e+00  -2.5321880e+00  -2.3232578e+00  -2.2158537e+00  -2.1892755e+00  -2.2371333e+00  -2.2482086e+00  -2.2621225e+00  -2.3771224e+00  -2.1851347e+00  -1.9465680e+00  -1.8234073e+00  -1.7561338e+00  -1.7305423e+00  -1.7537348e+00  -1.8318772e+00  -1.9838256e+00  -2.3311693e+00  -3.4540162e+00
  -2.9398004e+00  -6.8261071e-01  -2.2214080e-01   9.4052370e-03   1.1600166e-01   1.3429610e-01   9.0856709e-02   1.0814517e-01   4.8042588e-02   6.6205014e-02   3.8318137e-01   5.0220272e-01   5.8314330e-01   6.1337217e-01   5.8622928e-01   5.2268471e-01   3.3190080e-01  -1.6624916e-01  -7.5394200e-01             Inf
  -2.5286726e+00  -2.1677973e-01   1.2795263e-01   3.6419798e-01   4.4984497e-01   4.2867826e-01   4.0875470e-01   4.0797204e-01   3.1730550e-01   6.0188282e-01   8.1238370e-01   9.3954825e-01   9.7772817e-01   9.9037066e-01   9.1489352e-01   7.2850333e-01   2.1909805e-01  -3.3449812e-01             Inf             Inf
  -2.3243924e+00   6.7391321e-03   3.5915600e-01   5.1479450e-01   5.7993775e-01   5.1779757e-01   5.4021586e-01   4.8880103e-01   5.2887032e-01   8.9499681e-01   1.0442844e+00   1.1391020e+00   1.1497225e+00   1.0990134e+00   9.2119105e-01   4.2149344e-01  -1.3241977e-01             Inf             Inf             Inf
  -2.2181364e+00   1.1410463e-01   4.4198975e-01   5.7294202e-01   5.3999264e-01   4.6486842e-01   5.1431097e-01   4.2493571e-01   7.7854293e-01   1.0468336e+00   1.1563607e+00   1.1961382e+00   1.1840710e+00   1.0246855e+00   5.3526719e-01  -9.4392513e-03             Inf             Inf             Inf             Inf
  -2.1911561e+00   1.2539370e-01   4.2683845e-01   5.2710609e-01   4.6793269e-01   2.7431841e-01   3.1998862e-01   4.2158156e-01   8.8580806e-01   1.1040138e+00   1.1873347e+00   1.1850632e+00   1.0598861e+00   5.7363426e-01   3.9978150e-02             Inf             Inf             Inf             Inf             Inf
  -2.2392957e+00   9.2884529e-02   4.1040899e-01   5.4053837e-01   5.2127204e-01   3.2747974e-01  -1.5544583e-01   4.5598232e-01   8.9616464e-01   1.0684731e+00   1.1168238e+00   1.0264184e+00   5.5907041e-01   3.1083345e-02             Inf             Inf             Inf             Inf             Inf             Inf
  -2.2445366e+00   1.0972444e-01   4.1189148e-01   4.9463774e-01   4.3247940e-01   4.3007700e-01   4.6664133e-01   3.5521073e-01   7.5696171e-01   9.5044238e-01   9.1557926e-01   4.9741443e-01  -1.7864405e-02             Inf             Inf             Inf             Inf             Inf             Inf             Inf
  -2.2653257e+00   5.6937221e-02   3.1901392e-01   5.2793881e-01   7.7816524e-01   8.8991672e-01   8.8731612e-01   7.5446936e-01   4.8882459e-01   6.3825828e-01   3.3798144e-01  -1.5410885e-01             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf
  -2.3772096e+00   7.2431607e-02   6.0014309e-01   8.9623547e-01   1.0348436e+00   1.0863853e+00   1.0779410e+00   9.4786616e-01   6.3678194e-01  -1.0968017e-01  -4.4839034e-01             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf
  -2.1881969e+00   3.7389664e-01   8.1378492e-01   1.0510415e+00   1.1683285e+00   1.1854414e+00   1.1190781e+00   9.2249895e-01   3.4259175e-01  -4.5060302e-01             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf
  -1.9481162e+00   5.1057157e-01   9.2355378e-01   1.1238687e+00   1.2099993e+00   1.1855360e+00   1.0274677e+00   4.9395069e-01  -1.5202554e-01             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf
  -1.8217000e+00   5.8122907e-01   9.9266884e-01   1.1751854e+00   1.1813829e+00   1.0614723e+00   5.6556229e-01  -2.7935183e-02             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf
  -1.7539174e+00   6.1706181e-01   9.8134606e-01   1.1085137e+00   1.0371241e+00   5.7153337e-01   3.9902946e-02             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf
  -1.7311567e+00   5.9410395e-01   9.1446067e-01   9.3188595e-01   5.3154710e-01   4.0640182e-02             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf
  -1.7531366e+00   5.0629446e-01   7.3255393e-01   4.2511256e-01  -1.0955595e-02             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf
  -1.8286464e+00   3.2381707e-01   2.2320861e-01  -1.2394014e-01             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf
  -1.9811625e+00  -1.6620021e-01  -3.3340115e-01             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf
  -2.3304261e+00  -7.5288749e-01             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf
  -3.4575512e+00             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf             Inf
